Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
Amikacin	0.18571428571428572	-0.05482376840947362	0.42625233983804506	0.08366615463389657	0.04494178020225822	0.12239052906553491	31	311
Ampicillin_Sulbactam	0.08311688311688312	0.06473097692230811	0.10150278931145812	0.1	-0.17764451051977995	0.37764451051978	385	10
Aztreonam	0.2021843761569789	0.034739570484240756	0.36962918182971705	0.5107142857142858	0.36995774494261147	0.6514708264859601	367	39
Cefazolin	0.06847335140018065	0.03041865346883956	0.10652804933152174	0.1	-0.1776445105197799	0.3776445105197799	409	11
Cefepime	0.4229591836734694	0.34336999642278737	0.5025483709241514	0.30210526315789477	0.230875957906346	0.37333456840944357	241	96
Cefoxitin	0.27346938775510204	0.06415019025558777	0.4827885852546163	0.3384615384615384	0.09636013741735314	0.5805629395057237	248	130
Ceftazidime	0.11547468354430379	0.06501424319903451	0.16593512388957307	0.2333333333333333	0.06331148816876908	0.40335517849789754	398	17
Ceftriaxone	0.06898524540800963	0.0410581948990492	0.09691229591697005	0.0	0.0	0.0	406	7
Cefuroxime_sodium	0.07794303797468354	0.0475912620280518	0.10829481392131526	0.2	-0.3552890210395599	0.75528902103956	398	10
Ciprofloxacin	0.0409607270366764	0.020111890890731926	0.061809563182620875	0.04	-0.07105780420791194	0.15105780420791196	391	23
Gentamicin	0.12571428571428572	0.006459651015082141	0.2449689204134893	0.2860314523589269	0.1963056882127714	0.3757572165050824	175	231
Imipenem	0.2533333333333333	0.12050172025503597	0.3861649464116306	0.1515965166908563	0.10420243276368388	0.19899060061802873	150	264
Levofloxacin	0.023684210526315787	0.01001512324100566	0.03735329781162591	0.05357142857142857	-0.0378484252878726	0.14499128243072973	380	39
Meropenem	0.25161290322580643	0.17686392206252038	0.32636188438909247	0.18572549019607845	0.14485174122385294	0.22659923916830396	151	253
Nitrofurantoin	0.12636469221835075	0.04477085801641999	0.2079585264202815	0.5	-0.4186931155186995	1.4186931155186995	206	4
Piperacillin_Tazobactam	0.1737704918032787	0.10238222966122779	0.2451587539453296	0.3625	0.2975718353947769	0.4274281646052231	305	80
Tetracycline	0.21714285714285714	0.14357802091631194	0.29070769336940233	0.43500000000000005	0.28841263803002026	0.5815873619699798	175	200
Tobramycin	0.21664295874822187	0.12406791991236547	0.30921799758407825	0.0896551724137931	0.018010301125271064	0.16130004370231515	189	145
Trimethoprim_Sulfamethoxazole	0.38597919493441885	0.3023996021174714	0.4695587877513663	0.2803921568627451	0.1854725989345462	0.375311714790944	334	89
all	0.15453398454546172	0.12524377706358683	0.1838241920273366	0.22412810925897078	0.18669583551978453	0.26156038299815704	5339	1959
