protein1 protein2 combined_score
272620.KPN_00002 272620.KPN_00003 323
272620.KPN_00003 272620.KPN_00002 323
272620.KPN_00002 272620.KPN_00041 411
272620.KPN_00041 272620.KPN_00002 411
272620.KPN_00002 272620.KPN_00059 436
272620.KPN_00059 272620.KPN_00002 436
272620.KPN_00002 272620.KPN_00187 173
272620.KPN_00187 272620.KPN_00002 173
272620.KPN_00002 272620.KPN_00211 554
272620.KPN_00211 272620.KPN_00002 554
272620.KPN_00002 272620.KPN_00213 214
272620.KPN_00213 272620.KPN_00002 214
272620.KPN_00002 272620.KPN_00255 215
272620.KPN_00255 272620.KPN_00002 215
272620.KPN_00002 272620.KPN_00384 216
272620.KPN_00384 272620.KPN_00002 216
272620.KPN_00002 272620.KPN_00386 216
272620.KPN_00386 272620.KPN_00002 216
272620.KPN_00002 272620.KPN_00398 219
272620.KPN_00398 272620.KPN_00002 219
272620.KPN_00002 272620.KPN_00440 369
272620.KPN_00440 272620.KPN_00002 369
272620.KPN_00002 272620.KPN_00577 215
272620.KPN_00577 272620.KPN_00002 215
272620.KPN_00002 272620.KPN_00645 736
272620.KPN_00645 272620.KPN_00002 736
272620.KPN_00002 272620.KPN_00695 918
272620.KPN_00695 272620.KPN_00002 918
272620.KPN_00002 272620.KPN_00730 216
272620.KPN_00730 272620.KPN_00002 216
272620.KPN_00002 272620.KPN_00861 852
272620.KPN_00861 272620.KPN_00002 852
272620.KPN_00002 272620.KPN_00940 171
272620.KPN_00940 272620.KPN_00002 171
272620.KPN_00002 272620.KPN_00955 289
272620.KPN_00955 272620.KPN_00002 289
272620.KPN_00002 272620.KPN_01041 371
272620.KPN_01041 272620.KPN_00002 371
272620.KPN_00002 272620.KPN_01094 370
272620.KPN_01094 272620.KPN_00002 370
272620.KPN_00002 272620.KPN_01165 851
272620.KPN_01165 272620.KPN_00002 851
272620.KPN_00002 272620.KPN_01203 852
272620.KPN_01203 272620.KPN_00002 852
272620.KPN_00002 272620.KPN_01361 458
272620.KPN_01361 272620.KPN_00002 458
272620.KPN_00002 272620.KPN_01363 214
272620.KPN_01363 272620.KPN_00002 214
272620.KPN_00002 272620.KPN_01365 289
272620.KPN_01365 272620.KPN_00002 289
272620.KPN_00002 272620.KPN_01467 319
272620.KPN_01467 272620.KPN_00002 319
272620.KPN_00002 272620.KPN_01511 739
272620.KPN_01511 272620.KPN_00002 739
272620.KPN_00002 272620.KPN_01548 216
272620.KPN_01548 272620.KPN_00002 216
272620.KPN_00002 272620.KPN_01615 777
272620.KPN_01615 272620.KPN_00002 777
272620.KPN_00002 272620.KPN_01802 215
272620.KPN_01802 272620.KPN_00002 215
272620.KPN_00002 272620.KPN_02330 557
272620.KPN_02330 272620.KPN_00002 557
272620.KPN_00002 272620.KPN_02406 831
272620.KPN_02406 272620.KPN_00002 831
272620.KPN_00002 272620.KPN_02449 469
272620.KPN_02449 272620.KPN_00002 469
272620.KPN_00002 272620.KPN_02462 436
272620.KPN_02462 272620.KPN_00002 436
272620.KPN_00002 272620.KPN_02475 158
272620.KPN_02475 272620.KPN_00002 158
272620.KPN_00002 272620.KPN_02559 171
272620.KPN_02559 272620.KPN_00002 171
272620.KPN_00002 272620.KPN_02680 772
272620.KPN_02680 272620.KPN_00002 772
272620.KPN_00002 272620.KPN_02702 371
272620.KPN_02702 272620.KPN_00002 371
272620.KPN_00002 272620.KPN_02709 871
272620.KPN_02709 272620.KPN_00002 871
272620.KPN_00002 272620.KPN_02735 535
272620.KPN_02735 272620.KPN_00002 535
272620.KPN_00002 272620.KPN_02770 158
272620.KPN_02770 272620.KPN_00002 158
272620.KPN_00002 272620.KPN_02812 843
272620.KPN_02812 272620.KPN_00002 843
272620.KPN_00002 272620.KPN_03140 557
272620.KPN_03140 272620.KPN_00002 557
272620.KPN_00002 272620.KPN_03252 226
272620.KPN_03252 272620.KPN_00002 226
272620.KPN_00002 272620.KPN_03254 798
272620.KPN_03254 272620.KPN_00002 798
272620.KPN_00002 272620.KPN_03320 178
272620.KPN_03320 272620.KPN_00002 178
272620.KPN_00002 272620.KPN_03410 266
272620.KPN_03410 272620.KPN_00002 266
272620.KPN_00002 272620.KPN_03428 813
272620.KPN_03428 272620.KPN_00002 813
272620.KPN_00002 272620.KPN_03580 437
272620.KPN_03580 272620.KPN_00002 437
272620.KPN_00002 272620.KPN_03587 170
272620.KPN_03587 272620.KPN_00002 170
272620.KPN_00002 272620.KPN_03700 162
272620.KPN_03700 272620.KPN_00002 162
272620.KPN_00002 272620.KPN_03799 850
272620.KPN_03799 272620.KPN_00002 850
272620.KPN_00002 272620.KPN_03825 215
272620.KPN_03825 272620.KPN_00002 215
