Antibiotic	Acc	Conf_low	Conf_high	Count
all	0.7962138466332398	0.7706482656341159	0.8217794276323637	8401
amikacin	0.8171531531531532	0.7444120599271549	0.8898942463791515	372
capreomycin	0.8275430359937402	0.760683152866355	0.8944029191211255	359
ethambutol	0.8048010540184454	0.7874796189722887	0.8221224890646021	1378
ethionamide	0.7047619047619047	0.5852035106999689	0.8243202988238405	102
isoniazid	0.7403015248660118	0.7134834117887535	0.76711963794327	1725
kanamycin	0.8337741224533678	0.7820036568421372	0.8855445880645983	265
moxifloxacin	0.902512077294686	0.8704940027508555	0.9345301518385164	226
ofloxacin	0.7039855072463768	0.6030808120436975	0.8048902024490561	118
pyrazinamide	0.8586028556581129	0.8195889546600884	0.8976167566561374	1259
rifampin	0.7880605717617601	0.76250848183117	0.8136126616923502	1708
streptomycin	0.7817495080302164	0.714218256468034	0.8492807595923987	889
