Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
all	0.33477267415789835	0.3130995763105766	0.3564457720052201	0.10830676233174312	0.09685375005282532	0.11975977461066092	1532	6869
amikacin	0.22666666666666666	0.1116427497578402	0.3416905835754931	0.2466393921683226	0.1797567527709727	0.3135220315656725	79	292
capreomycin	0.37912087912087916	0.24508336851114593	0.5131583897306125	0.20707803992740473	0.033470231567414604	0.3806858482873948	68	289
ethambutol	0.25801564027370477	0.16797295587775793	0.3480583246696516	0.08698306685556231	0.043305893000470164	0.13066024071065446	162	1219
ethionamide	0.3388888888888889	0.17637964282129553	0.5013981349564822	0.17424242424242425	-0.018304758802370896	0.36678960728721943	44	56
isoniazid	0.46400266400266404	0.4319159352732136	0.4960893927321145	0.10519838923150573	0.09064765273356477	0.1197491257294467	388	1331
kanamycin	0.2727272727272727	0.12325492737222998	0.42219961808231543	0.11207897793263648	0.048966726523997514	0.17519122934127546	58	206
moxifloxacin	0.17619047619047618	0.028965789408817583	0.3234151629721348	0.08205128205128205	0.009450524257319251	0.15465203984524484	33	195
ofloxacin	0.3333333333333333	0.13975494705123376	0.5269117196154329	0.2272727272727273	0.0015156366902243368	0.4530298178552302	60	56
pyrazinamide	0.25	0.21864324881838984	0.2813567511816102	0.10755555555555556	0.0943803014885928	0.12073080962251831	140	1125
rifampin	0.3198051948051948	0.24640535046701417	0.39320503914337546	0.06496208968609482	0.042023934372212135	0.0879002449999775	278	1431
streptomycin	0.29707070707070704	0.21595304553748448	0.37818836860392957	0.13449668948490628	0.10399800555384568	0.16499537341596687	222	669
