Antibiotic	Acc	Conf_low	Conf_high	Count
AMP	0.7242857142857144	0.6652550165641542	0.7833164120072746	700
AUG	0.8121212121212121	0.7635156703236379	0.8607267539187864	660
AXO	0.8264028776978417	0.7736643580547103	0.8791413973409731	697
CHL	0.8455882352941175	0.7683880750940077	0.9227883954942273	680
FIS	0.7576864357017029	0.7189582287488558	0.79641464265455	652
FOX	0.8092265795206972	0.7785590591293894	0.839894099912005	676
GEN	0.7511372051200678	0.71600711187055	0.7862672983695855	687
KAN	0.7043478260869567	0.5594898205983758	0.8492058315755375	115
STR	0.7693354430379746	0.72928184830621	0.8093890377697393	399
TET	0.7660534429599178	0.708505637473513	0.8236012484463227	697
TIO	0.8065775950668037	0.7875000929229218	0.8256550972106856	698
all	0.7860706167532874	0.7553938541186604	0.8167473793879143	6661
