Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMP	0.27692307692307694	0.22740828330905613	0.3264378705370978	0.27601880877742946	0.18885197317872737	0.36318564437613154	260	438
AUG	0.23225806451612904	0.18838145931237052	0.27613466971988754	0.1824950495049505	0.08444313822201259	0.2805469607878884	155	504
AXO	0.23526881720430107	0.10422804943258124	0.3663095849760209	0.14487535909554258	0.08116932602913804	0.20858139216194713	153	545
CHL	0.26666666666666666	-0.04717944805807367	0.580512781391407	0.1292092841178586	0.0832583517174861	0.17516021651823108	30	650
FIS	0.33802259887005653	0.24643131086724246	0.4296138868728706	0.14647887323943662	0.038249504024709086	0.2547082424541641	296	355
FOX	0.2518518518518519	0.19189141538115906	0.3118122883225447	0.11576622494053687	0.05583251251333597	0.17569993736773776	135	544
GEN	0.40869565217391307	0.2531652485012993	0.5642260558465269	0.2845156369183829	0.20331370958016065	0.3657175642566051	115	573
KAN	0.06666666666666667	-0.11842967367985326	0.2517630070131866	0.36571428571428566	0.2269770497061755	0.5044515217223958	17	101
STR	0.27481481481481473	0.2234685589374671	0.3261610706921624	0.19876923076923078	0.11896731184943359	0.27857114968902796	273	126
TET	0.29941358024691356	0.16248200853623973	0.4363451519575874	0.2206896551724138	0.14001813002276192	0.30136118032206566	404	290
TIO	0.2694623655913978	0.1982388628982271	0.3406858682845685	0.12660550458715597	0.07114909302703211	0.18206191614727985	152	545
all	0.28693236071077155	0.2350920729215763	0.3387726484999668	0.1817543655396269	0.1673495631876321	0.1961591678916217	1990	4671
