protein1 protein2 combined_score
99287.STM0002 99287.STM0003 323
99287.STM0003 99287.STM0002 323
99287.STM0002 99287.STM0067 411
99287.STM0067 99287.STM0002 411
99287.STM0002 99287.STM0097 436
99287.STM0097 99287.STM0002 436
99287.STM0002 99287.STM0221 173
99287.STM0221 99287.STM0002 173
99287.STM0002 99287.STM0245 554
99287.STM0245 99287.STM0002 554
99287.STM0002 99287.STM0247 214
99287.STM0247 99287.STM0002 214
99287.STM0002 99287.STM0447 219
99287.STM0447 99287.STM0002 219
99287.STM0002 99287.STM0472 369
99287.STM0472 99287.STM0002 369
99287.STM0002 99287.STM0511 214
99287.STM0511 99287.STM0002 214
99287.STM0002 99287.STM0603 738
99287.STM0603 99287.STM0002 738
99287.STM0002 99287.STM0680 918
99287.STM0680 99287.STM0002 918
99287.STM0002 99287.STM0691 222
99287.STM0691 99287.STM0002 222
99287.STM0002 99287.STM0734 222
99287.STM0734 99287.STM0002 222
99287.STM0002 99287.STM0847 938
99287.STM0847 99287.STM0002 938
99287.STM0002 99287.STM0972 246
99287.STM0972 99287.STM0002 246
99287.STM0002 99287.STM0983 171
99287.STM0983 99287.STM0002 171
99287.STM0002 99287.STM0998 441
99287.STM0998 99287.STM0002 441
99287.STM0002 99287.STM1124 371
99287.STM1124 99287.STM0002 371
99287.STM0002 99287.STM1198 370
99287.STM1198 99287.STM0002 370
99287.STM0002 99287.STM1294 600
99287.STM1294 99287.STM0002 600
99287.STM0002 99287.STM1557 739
99287.STM1557 99287.STM0002 739
99287.STM0002 99287.STM1826 459
99287.STM1826 99287.STM0002 459
99287.STM0002 99287.STM2071 158
99287.STM2071 99287.STM0002 158
99287.STM0002 99287.STM2110 369
99287.STM2110 99287.STM0002 369
99287.STM0002 99287.STM2154 171
99287.STM2154 99287.STM0002 171
99287.STM0002 99287.STM2196 459
99287.STM2196 99287.STM0002 459
99287.STM0002 99287.STM2331 774
99287.STM2331 99287.STM0002 774
99287.STM0002 99287.STM2360 166
99287.STM2360 99287.STM0002 166
99287.STM0002 99287.STM2362 371
99287.STM2362 99287.STM0002 371
99287.STM0002 99287.STM2369 871
99287.STM2369 99287.STM0002 871
99287.STM0002 99287.STM2402 538
99287.STM2402 99287.STM0002 538
99287.STM0002 99287.STM2441 158
99287.STM2441 99287.STM0002 158
99287.STM0002 99287.STM2489 843
99287.STM2489 99287.STM0002 843
99287.STM0002 99287.STM2792 404
99287.STM2792 99287.STM0002 404
99287.STM0002 99287.STM2945 246
99287.STM2945 99287.STM0002 246
99287.STM0002 99287.STM2971 459
