protein1 protein2 combined_score
93061.SAOUHSC_00001 93061.SAOUHSC_00002 974
93061.SAOUHSC_00002 93061.SAOUHSC_00001 974
93061.SAOUHSC_00001 93061.SAOUHSC_00004 180
93061.SAOUHSC_00004 93061.SAOUHSC_00001 180
93061.SAOUHSC_00001 93061.SAOUHSC_00005 389
93061.SAOUHSC_00005 93061.SAOUHSC_00001 389
93061.SAOUHSC_00001 93061.SAOUHSC_00006 527
93061.SAOUHSC_00006 93061.SAOUHSC_00001 527
93061.SAOUHSC_00001 93061.SAOUHSC_00018 879
93061.SAOUHSC_00018 93061.SAOUHSC_00001 879
93061.SAOUHSC_00001 93061.SAOUHSC_00083 730
93061.SAOUHSC_00083 93061.SAOUHSC_00001 730
93061.SAOUHSC_00001 93061.SAOUHSC_00113 319
93061.SAOUHSC_00113 93061.SAOUHSC_00001 319
93061.SAOUHSC_00001 93061.SAOUHSC_00132 156
93061.SAOUHSC_00132 93061.SAOUHSC_00001 156
93061.SAOUHSC_00001 93061.SAOUHSC_00228 158
93061.SAOUHSC_00228 93061.SAOUHSC_00001 158
93061.SAOUHSC_00001 93061.SAOUHSC_00342 998
93061.SAOUHSC_00342 93061.SAOUHSC_00001 998
93061.SAOUHSC_00001 93061.SAOUHSC_00454 315
93061.SAOUHSC_00454 93061.SAOUHSC_00001 315
93061.SAOUHSC_00001 93061.SAOUHSC_00456 616
93061.SAOUHSC_00456 93061.SAOUHSC_00001 616
93061.SAOUHSC_00001 93061.SAOUHSC_00468 304
93061.SAOUHSC_00468 93061.SAOUHSC_00001 304
93061.SAOUHSC_00001 93061.SAOUHSC_00517 962
93061.SAOUHSC_00517 93061.SAOUHSC_00001 962
93061.SAOUHSC_00001 93061.SAOUHSC_00528 192
93061.SAOUHSC_00528 93061.SAOUHSC_00001 192
93061.SAOUHSC_00001 93061.SAOUHSC_00646 319
93061.SAOUHSC_00646 93061.SAOUHSC_00001 319
93061.SAOUHSC_00001 93061.SAOUHSC_00774 463
93061.SAOUHSC_00774 93061.SAOUHSC_00001 463
93061.SAOUHSC_00001 93061.SAOUHSC_01155 206
93061.SAOUHSC_01155 93061.SAOUHSC_00001 206
93061.SAOUHSC_00001 93061.SAOUHSC_01351 389
93061.SAOUHSC_01351 93061.SAOUHSC_00001 389
93061.SAOUHSC_00001 93061.SAOUHSC_01352 527
93061.SAOUHSC_01352 93061.SAOUHSC_00001 527
93061.SAOUHSC_00001 93061.SAOUHSC_01470 999
93061.SAOUHSC_01470 93061.SAOUHSC_00001 999
93061.SAOUHSC_00001 93061.SAOUHSC_01474 216
93061.SAOUHSC_01474 93061.SAOUHSC_00001 216
93061.SAOUHSC_00001 93061.SAOUHSC_01490 318
93061.SAOUHSC_01490 93061.SAOUHSC_00001 318
93061.SAOUHSC_00001 93061.SAOUHSC_01620 496
93061.SAOUHSC_01620 93061.SAOUHSC_00001 496
93061.SAOUHSC_00001 93061.SAOUHSC_01682 191
93061.SAOUHSC_01682 93061.SAOUHSC_00001 191
93061.SAOUHSC_00001 93061.SAOUHSC_01683 638
93061.SAOUHSC_01683 93061.SAOUHSC_00001 638
93061.SAOUHSC_00001 93061.SAOUHSC_01684 693
93061.SAOUHSC_01684 93061.SAOUHSC_00001 693
93061.SAOUHSC_00001 93061.SAOUHSC_01791 924
93061.SAOUHSC_01791 93061.SAOUHSC_00001 924
93061.SAOUHSC_00001 93061.SAOUHSC_01792 999
93061.SAOUHSC_01792 93061.SAOUHSC_00001 999
93061.SAOUHSC_00001 93061.SAOUHSC_01802 627
93061.SAOUHSC_01802 93061.SAOUHSC_00001 627
93061.SAOUHSC_00001 93061.SAOUHSC_02067 879
93061.SAOUHSC_02067 93061.SAOUHSC_00001 879
93061.SAOUHSC_00001 93061.SAOUHSC_02132 276
93061.SAOUHSC_02132 93061.SAOUHSC_00001 276
93061.SAOUHSC_00001 93061.SAOUHSC_02135 725
93061.SAOUHSC_02135 93061.SAOUHSC_00001 725
93061.SAOUHSC_00001 93061.SAOUHSC_02142 156
93061.SAOUHSC_02142 93061.SAOUHSC_00001 156
93061.SAOUHSC_00001 93061.SAOUHSC_02216 773
93061.SAOUHSC_02216 93061.SAOUHSC_00001 773
93061.SAOUHSC_00001 93061.SAOUHSC_02337 171
93061.SAOUHSC_02337 93061.SAOUHSC_00001 171
93061.SAOUHSC_00001 93061.SAOUHSC_02362 180
93061.SAOUHSC_02362 93061.SAOUHSC_00001 180
93061.SAOUHSC_00001 93061.SAOUHSC_02363 156
