Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|419947.8.peg.2722,Protein,"Sulfate transport system permease protein CysW",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_2422,cysW,fig|419947.9.peg.2601,Protein,"Nitrate/nitrite transporter",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100013552,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.2246,Protein,"Transcriptional regulator, MarR family",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2011c,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.899,Protein,"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0805,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.3329,Protein,"Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2982c,gpsA,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.4142,Protein,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3717,,fig|83332.12.peg.3034,Protein,"Integral membrane protein TerC",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv2723,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.451,Protein,"Acetate kinase (EC 2.7.2.1)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0409,ackA,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.3522,Protein,"NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3156,nuoL,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|419947.8.peg.2065,Protein,"Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)",Bacteria,419947,419947.8,Mycobacterium tuberculosis H37Ra,MRA_1843,gcvB,fig|419947.9.peg.2187,Protein,"FIG007959: peptidase, M16 family",Bacteria,419947,419947.9,Mycobacterium tuberculosis H37Ra [WGS],MtubH3_010100011463,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|83332.12.peg.4366,Protein,"FIG007808: N-acetyltransferase",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3916c,,fig|83332.12.peg.1676,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv1501,,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
fig|83332.12.peg.339,Protein,"hypothetical protein",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv0307c,,fig|83332.12.peg.3677,Protein,"Probable L-lysine-epsilon aminotransferase (EC 2.6.1.36) (L-lysine aminotransferase) (Lysine 6-aminotransferase)",Bacteria,83332,83332.12,Mycobacterium tuberculosis H37Rv,Rv3290c,lat,PPI,"genetic interaction","Tn-seq experiment","experimental","","FLUTE","",
