Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.99","KPN_00096","VBIKlePne13394_0099",,,"ddl","D-alanine--D-alanine ligase (EC 6.3.2.4)",,"antibiotic target in susceptible species","24303782;24033232",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.1653","KPN_01623","VBIKlePne13394_1653",,,"marB","Multiple antibiotic resistance protein MarB",,"antibiotic resistance gene cluster, cassette, or operon","8383113;9068629",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.1633","KPN_01607","VBIKlePne13394_1633",,,,"Class A beta-lactamase (EC 3.5.2.6) => SHV family",,"antibiotic inactivation enzyme","11585791",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.4168","KPN_04102","VBIKlePne13394_4168",,,"gyrB","DNA gyrase subunit B (EC 5.99.1.3)",,"antibiotic target in susceptible species","21693461;22279180;9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.2602","KPN_02580","VBIKlePne13394_2602",,,,"Carbohydrate-selective porin OprB",,"protein modulating permeability to antibiotic","7768797;8125108",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.5242","KPN_pKPN5p08234","VBIKlePne13394_5242",,,"cmlA2","Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatA1/CatA4 family",,"antibiotic inactivation enzyme","27635645;25779570 ",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.4143","KPN_04078","VBIKlePne13394_4143",,,"emrD","Multidrug efflux pump EmrD (of MFS type)",,"efflux pump conferring antibiotic resistance","8987357;16675700",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.450","KPN_00443","VBIKlePne13394_0450",,,"acrB","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)",,"efflux pump conferring antibiotic resistance","7651136",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.2548","KPN_02528","VBIKlePne13394_2548",,,"yegO","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)",,"efflux pump conferring antibiotic resistance","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.3903","KPN_03841","VBIKlePne13394_3903",,,"yfbJ","Undecaprenyl phosphate-aminoarabinose flippase subunit ArnF",,"protein altering cell wall charge conferring antibiotic resistance","17928292",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.5085","KPN_pKPN4p07059","VBIKlePne13394_5085",,,"aadA","Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)",,"antibiotic inactivation enzyme","1314803;2986186;10582907;12383729;12760885;12910271;15117923;15761062;15980396;16451415;16495246;16816399;17526756;17597002;17650961;18268088;18458128;19008256;19538087;19719593;22127350",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.4486","KPN_04440","VBIKlePne13394_4486",,,"alr","Alanine racemase (EC 5.1.1.1)",,"antibiotic target in susceptible species","19748470;24303782",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.451","KPN_00444","VBIKlePne13394_0451",,,"acrA","Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA",,"efflux pump conferring antibiotic resistance","7651136",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.5196","KPN_pKPN5p08180","VBIKlePne13394_5196",,,,"Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id",,"antibiotic inactivation enzyme","3889831;15722395",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.247","KPN_00246","VBIKlePne13394_0247",,,,"Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)",,"protein altering cell wall charge conferring antibiotic resistance","21899450",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.1805","KPN_01777","VBIKlePne13394_1805",,,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",,"antibiotic target in susceptible species","10428945",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","fig|272620.9.peg.902","KPN_00874","VBIKlePne13394_0902",,,"cmr","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum",,"efflux pump conferring antibiotic resistance","9079913",,,,
