Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.3051",,"VBIKlePne319573_3051",,,,"Transcription termination factor Rho",,"antibiotic target in susceptible species","8466900",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.1641",,"VBIKlePne319573_1641",,,,"Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)",,"protein altering cell wall charge conferring antibiotic resistance","21899450",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.1638",,"VBIKlePne319573_1638",,,,"Transcriptional regulator of acrAB operon, AcrR",,"regulator modulating expression of antibiotic resistance genes",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.2575",,"VBIKlePne319573_2575",,,,"Aminoglycoside 2''-phosphotransferase (EC 2.7.1.190) => APH(2'')",,"antibiotic inactivation enzyme","25645207;17030911;10991878;9055984;9593155",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.2577",,"VBIKlePne319573_2577",,,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib/AAC(6')-II",,"antibiotic inactivation enzyme","3838980;17470660;12543680;2515793;19075060;11557456;15625322;16369542;8138142;9579076;9527761;9835500;1339319;18843996",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.2430",,"VBIKlePne319573_2430",,,,"Dihydropteroate synthase (EC 2.5.1.15)",,"antibiotic target in susceptible species","15673783",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.900",,"VBIKlePne319573_0900",,,,"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)",,"efflux pump conferring antibiotic resistance","10692383",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.4459",,"VBIKlePne319573_4459",,,,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",,"efflux pump conferring antibiotic resistance","1720861",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.3052",,"VBIKlePne319573_3052",,,,"Transcription termination factor Rho",,"antibiotic target in susceptible species","8466900",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.567",,"VBIKlePne319573_0567",,,,"Alanine racemase (EC 5.1.1.1)",,"antibiotic target in susceptible species","19748470;24303782",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae IS39","fig|1432561.3.peg.2431",,"VBIKlePne319573_2431",,,,"Dihydropteroate synthase (EC 2.5.1.15)",,"antibiotic target in susceptible species","15673783",,,,
