Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","CARD","Staphylococcus aureus C0673","fig|1413510.3.peg.2169","V070_02227",,"YP_006374661.1","Enterococcus faecium DO",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant;elfamycin resistance gene",,83,89,86,"1e-181"
"FBA","Essential Gene","PATRIC","Staphylococcus aureus subsp. aureus DSM 20231","fig|1241616.6.peg.421","AA076_02135",,,,,"Trehalose-6-phosphate hydrolase (EC 3.2.1.93)","Essential gene, predicted using metabolic flux-balance analysis in LB media","",,,,,
"FBA","Essential Gene","PATRIC","Staphylococcus aureus subsp. aureus DSM 20231","fig|1241616.6.peg.1194","AA076_06125",,,,,"3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG","Essential gene, predicted using metabolic flux-balance analysis in LB media","",,,,,
"FBA","Essential Gene","PATRIC","Staphylococcus aureus C0673","fig|1413510.3.peg.1709","V070_01726",,,,,"DNA gyrase subunit B (EC 5.99.1.3)","Essential gene, predicted using metabolic flux-balance analysis in LB media","",,,,,
"BLAT","Virulence Factor","Victors","Staphylococcus aureus subsp. aureus NCTC 8325","fig|93061.5.peg.1291","SAOUHSC_01411","VBIStaAur99865_1291","156979726","Staphylococcus aureus subsp. aureus Mu3",,"Na(+)-dependent branched-chain amino acid transporter",,,"15664928",100,100,100,"1e-252"
"BLAT","Virulence Factor","VFDB","Staphylococcus aureus subsp. aureus NCTC 8325","fig|93061.5.peg.736","SAOUHSC_00814","VBIStaAur99865_0736","VFG002418","Staphylococcus aureus subsp. aureus str. Newman",,"Secreted von Willebrand factor-binding protein VWbp",,"Exoenzyme",,88,99,100,"1e-264"
"BLASTP","Human Homolog","Human","Staphylococcus aureus C0673","fig|1413510.3.peg.2169","V070_02227",,"NP_003312.3","Homo sapiens",,"Translation elongation factor Tu",,"","",85,98,55,"0"
"BLAT","Antibiotic Resistance","CARD","Staphylococcus aureus subsp. aureus NCTC 8325","fig|93061.5.peg.1154","SAOUHSC_01260","VBIStaAur99865_1154","WP_001025093","Staphylococcus aureus",,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)",,"antibiotic resistant gene variant or mutant;lipopeptide antibiotic resistance gene",,100,100,100,"1e-101"
"FBA","Essential Gene","PATRIC","Staphylococcus aureus subsp. aureus NCTC 8325","fig|93061.5.peg.1631","SAOUHSC_01791","VBIStaAur99865_1631",,,,"Helicase loader DnaI","Essential gene, predicted using metabolic flux-balance analysis in LB media","",,,,,
"FBA","Essential Gene","PATRIC","Staphylococcus aureus subsp. aureus DSM 20231","fig|1241616.6.peg.1238","AA076_06350",,,,,"FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)","Essential gene, predicted using metabolic flux-balance analysis in LB media","",,,,,
