Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|99287.12.peg.2294,Protein,"Murein-DD-endopeptidase (EC 3.4.99.-)",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM2168,pbpG,fig|99287.12.peg.2577,Protein,"hypothetical protein",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM2439,yfeL,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|99287.12.peg.273,Protein,"DNA polymerase III epsilon subunit (EC 2.7.7.7)",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM0264,dnaQ,fig|99287.12.peg.832,Protein,"Excinuclease ABC subunit B",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM0798,uvrB,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|99287.12.peg.590,Protein,"Bactoprenol glucosyl transferase",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM0558,yfdH,fig|99287.12.peg.1423,Protein,"Vitamin B12 ABC transporter, permease component BtuC",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM1340,btuC,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|99287.12.peg.3173,Protein,"FIG004819: Prepilin peptidase dependent protein B precursor",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM2999,ppdB,fig|99287.12.peg.3174,Protein,"Prepilin peptidase dependent protein A precursor",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM3000,ppdA,PPI,"predicted interaction","gene neighbourhood,interologs mapping,predictive text mining,phylogenetic profile","computational,experimental","","string","",
fig|99287.12.peg.1482,Protein,"Type III secretion effector SseB",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM1398,sseB,fig|99287.12.peg.1480,Protein,"Secretion system effector SsaE",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM1396,ssaE,PPI,"physical association","anti tag coimmunoprecipitation","experimental","24722491","hpidb","intact:EBI-10716201",
fig|99287.12.peg.4094,Protein,"ATP synthase beta chain (EC 3.6.3.14)",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM3865,atpD,fig|99287.12.peg.4096,Protein,"ATP synthase alpha chain (EC 3.6.3.14)",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM3867,atpA,PPI,"predicted interaction","gene neighbourhood,interologs mapping,predictive text mining,inference,phylogenetic profile","computational,experimental","","string,biocyc,kegg pathways,gene ontology","",
fig|220341.7.peg.5258,Protein,"Tetracycline resistance regulatory protein TetR",Bacteria,220341,220341.7,Salmonella enterica subsp. enterica serovar Typhi str. CT18,HCM1.243,tetR,fig|220341.7.peg.121,Protein,"Arabinose operon regulatory protein",Bacteria,220341,220341.7,Salmonella enterica subsp. enterica serovar Typhi str. CT18,STY0121,araC,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|99287.12.peg.2472,Protein,"UPF0304 protein yfbU",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM2335,yfbU,fig|99287.12.peg.3248,Protein,"Protein of unknown function DUF541",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM3065,yggE,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|99287.12.peg.2820,Protein,"SSU ribosomal protein S16p",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM2676,rpsP,fig|99287.12.peg.3613,Protein,"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent",Bacteria,99287,99287.12,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM3416,rpsD,PPI,"predicted interaction","interologs mapping,predictive text mining","computational,experimental","","string","",
fig|220341.7.peg.2316,Protein,"Abequosyltransferase (EC 2.4.1.60)",Bacteria,220341,220341.7,Salmonella enterica subsp. enterica serovar Typhi str. CT18,STY2296,rfbV,fig|220341.7.peg.2319,Protein,"CDP-paratose synthase (EC 1.1.1.342)",Bacteria,220341,220341.7,Salmonella enterica subsp. enterica serovar Typhi str. CT18,STY2299,rfbS,PPI,"predicted interaction","predictive text mining,phylogenetic profile,gene neighbourhood","experimental,computational","","string","",
