BRC_ID,Property
fig|83332.12.peg.1453,Antibiotic Resistance
fig|83332.12.peg.1819,Antibiotic Resistance
fig|83332.12.peg.2503,Antibiotic Resistance
fig|83332.12.peg.4226,Antibiotic Resistance
fig|83332.12.peg.2220,Antibiotic Resistance
fig|83332.12.peg.3629,Antibiotic Resistance
fig|83332.12.peg.4297,Antibiotic Resistance
fig|83332.12.peg.3341,Antibiotic Resistance
fig|83332.12.peg.4224,Antibiotic Resistance
fig|83332.12.peg.3573,Antibiotic Resistance
fig|83332.12.peg.1419,Antibiotic Resistance
fig|83332.12.peg.3062,Antibiotic Resistance
fig|83332.12.peg.4369,Antibiotic Resistance
fig|83332.12.peg.760,Antibiotic Resistance
fig|83332.12.peg.272,Antibiotic Resistance
fig|83332.12.peg.3755,Antibiotic Resistance
fig|83332.12.peg.2504,Antibiotic Resistance
fig|83332.12.peg.2981,Antibiotic Resistance
fig|83332.12.peg.4278,Antibiotic Resistance
fig|83332.12.peg.762,Antibiotic Resistance
fig|83332.12.peg.763,Antibiotic Resistance
fig|83332.12.peg.3820,Antibiotic Resistance
fig|83332.12.peg.802,Antibiotic Resistance
fig|83332.12.peg.4250,Antibiotic Resistance
fig|83332.12.peg.3278,Antibiotic Resistance
fig|83332.12.peg.3628,Antibiotic Resistance
fig|83332.12.peg.2132,Antibiotic Resistance
fig|83332.12.peg.1409,Antibiotic Resistance
fig|83332.12.peg.982,Antibiotic Resistance
fig|83332.12.peg.2605,Antibiotic Resistance
fig|83332.12.peg.3080,Antibiotic Resistance
fig|83332.12.peg.1946,Antibiotic Resistance
fig|83332.12.peg.292,Antibiotic Resistance
fig|83332.12.peg.3630,Antibiotic Resistance
fig|83332.12.peg.5,Antibiotic Resistance
fig|83332.12.peg.6,Antibiotic Resistance
fig|83332.12.peg.271,Antibiotic Resistance
fig|83332.12.peg.3200,Antibiotic Resistance
fig|83332.12.peg.755,Antibiotic Resistance
fig|83332.12.peg.1716,Antibiotic Resistance
fig|83332.12.peg.1473,Antibiotic Resistance
fig|83332.12.peg.753,Antibiotic Resistance
fig|83332.12.peg.2094,Antibiotic Resistance
fig|83332.12.peg.4025,Antibiotic Resistance
fig|83332.12.peg.4225,Antibiotic Resistance
fig|83332.12.peg.742,Antibiotic Resistance
fig|83332.12.peg.1656,Antibiotic Resistance
fig|83332.12.peg.3328,Antibiotic Resistance
fig|83332.12.peg.743,Antibiotic Resistance
fig|83332.12.peg.4298,Antibiotic Resistance
fig|83332.12.peg.754,Antibiotic Resistance
fig|83332.12.peg.2310,Antibiotic Resistance
fig|83332.12.peg.350,Antibiotic Resistance
fig|83332.12.peg.781,Antibiotic Resistance
fig|83332.12.peg.2539,Antibiotic Resistance
fig|83332.12.peg.3622,Antibiotic Resistance
fig|83332.12.peg.358,Antibiotic Resistance
fig|572418.5.peg.342,Antibiotic Resistance
fig|572418.5.peg.964,Antibiotic Resistance
fig|572418.5.peg.3548,Antibiotic Resistance
fig|572418.5.peg.3941,Antibiotic Resistance
fig|572418.5.peg.2554,Antibiotic Resistance
fig|572418.5.peg.732,Antibiotic Resistance
fig|572418.5.peg.751,Antibiotic Resistance
fig|572418.5.peg.4188,Antibiotic Resistance
fig|572418.5.peg.2060,Antibiotic Resistance
fig|572418.5.peg.750,Antibiotic Resistance
fig|572418.5.peg.4208,Antibiotic Resistance
fig|572418.5.peg.743,Antibiotic Resistance
fig|572418.5.peg.5,Antibiotic Resistance
fig|572418.5.peg.282,Antibiotic Resistance
fig|572418.5.peg.744,Antibiotic Resistance
fig|572418.5.peg.789,Antibiotic Resistance
fig|572418.5.peg.2266,Antibiotic Resistance
fig|572418.5.peg.1698,Antibiotic Resistance
fig|572418.5.peg.4136,Antibiotic Resistance
fig|572418.5.peg.3549,Antibiotic Resistance
fig|572418.5.peg.2095,Antibiotic Resistance
fig|572418.5.peg.3005,Antibiotic Resistance
fig|572418.5.peg.1442,Antibiotic Resistance
fig|572418.5.peg.2988,Antibiotic Resistance
fig|572418.5.peg.1784,Antibiotic Resistance
fig|572418.5.peg.2664,Antibiotic Resistance
fig|572418.5.peg.1462,Antibiotic Resistance
fig|572418.5.peg.3130,Antibiotic Resistance
fig|572418.5.peg.3547,Antibiotic Resistance
fig|572418.5.peg.264,Antibiotic Resistance
fig|572418.5.peg.4162,Antibiotic Resistance
fig|572418.5.peg.2486,Antibiotic Resistance
fig|572418.5.peg.349,Antibiotic Resistance
fig|572418.5.peg.2453,Antibiotic Resistance
fig|572418.5.peg.1395,Antibiotic Resistance
fig|572418.5.peg.1911,Antibiotic Resistance
fig|572418.5.peg.3254,Antibiotic Resistance
fig|572418.5.peg.2170,Antibiotic Resistance
fig|572418.5.peg.742,Antibiotic Resistance
fig|572418.5.peg.3740,Antibiotic Resistance
fig|572418.5.peg.3541,Antibiotic Resistance
fig|572418.5.peg.768,Antibiotic Resistance
fig|572418.5.peg.263,Antibiotic Resistance
fig|572418.5.peg.731,Antibiotic Resistance
fig|572418.5.peg.3209,Antibiotic Resistance
fig|572418.5.peg.4207,Antibiotic Resistance
fig|572418.5.peg.4138,Antibiotic Resistance
