Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.989","t0904","VBISalEnt47697_0989","PATRIC.209261.6.NC_004631.CDS.1001138.1001581.rev","PATRIC","CDS",1001138,1001581,444,"-","FIG00001147","PLF_590_00002926","PGF_02510720","NP_804733.1",147,"fliJ","Flagellar protein FliJ",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.990","t0905","VBISalEnt47697_0990","PATRIC.209261.6.NC_004631.CDS.1001603.1002973.rev","PATRIC","CDS",1001603,1002973,1371,"-","FIG01955945","PLF_590_00000623","PGF_03474542","NP_804734.1",456,"fliI","Flagellum-specific ATP synthase FliI",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.991","t0906","VBISalEnt47697_0991","PATRIC.209261.6.NC_004631.CDS.1002973.1003680.rev","PATRIC","CDS",1002973,1003680,708,"-","FIG00000850","PLF_590_00002923","PGF_08247404","NP_804735.1",235,"fliH","Flagellar assembly protein FliH",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.992","t0907","VBISalEnt47697_0992","PATRIC.209261.6.NC_004631.CDS.1003673.1004668.rev","PATRIC","CDS",1003673,1004668,996,"-","FIG00000610","PLF_590_00002847","PGF_02109968","NP_804736.1",331,"fliG","Flagellar motor switch protein FliG",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.993","t0908","VBISalEnt47697_0993","PATRIC.209261.6.NC_004631.CDS.1004661.1006256.rev","PATRIC","CDS",1004661,1006256,1596,"-","FIG00017343","PLF_590_00000467","PGF_00005284","NP_804737.1",531,"fliF","Flagellar M-ring protein FliF",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.994",,"VBISalEnt47697_0994","PATRIC.209261.6.NC_004631.CDS.1006385.1006513.fwd","PATRIC","CDS",1006385,1006513,129,"+","FIG00510370","PLF_590_00003375","PGF_00327844",,42,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.99","t0090","VBISalEnt47697_0099","PATRIC.209261.6.NC_004631.CDS.100644.101123.fwd","PATRIC","CDS",100644,101123,480,"+","FIG00000048","PLF_590_00002838","PGF_09348764","NP_803974.1",159,"folA","Dihydrofolate reductase (EC 1.5.1.3)","GO:0004146|dihydrofolate reductase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.995","t0909","VBISalEnt47697_0995","PATRIC.209261.6.NC_004631.CDS.1006560.1006874.fwd","PATRIC","CDS",1006560,1006874,315,"+","FIG00078127","PLF_590_00002925","PGF_02744871","NP_804738.1",104,"fliE","Flagellar hook-basal body complex protein FliE",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.996","t0910","VBISalEnt47697_0996","PATRIC.209261.6.NC_004631.CDS.1006994.1007347.rev","PATRIC","CDS",1006994,1007347,354,"-","FIG01200701","PLF_590_00003662","PGF_03307916","NP_804739.1",117,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.997","t0911","VBISalEnt47697_0997","PATRIC.209261.6.NC_004631.CDS.1007645.1007878.rev","PATRIC","CDS",1007645,1007878,234,"-","FIG00638284","PLF_590_00003023","PGF_00064154","NP_804740.1",77,"yedF","UPF0033 protein YedF",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.998","t0912","VBISalEnt47697_0998","PATRIC.209261.6.NC_004631.CDS.1007875.1009080.rev","PATRIC","CDS",1007875,1009080,1206,"-","FIG00731831","PLF_590_00002704","PGF_00064355","NP_804741.1",401,"yedE","UPF0394 inner membrane protein YedE",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.999",,"VBISalEnt47697_0999","PATRIC.209261.6.NC_004631.CDS.1009186.1009329.fwd","PATRIC","CDS",1009186,1009329,144,"+","FIG00638284","PLF_590_00013440","PGF_10498739",,47,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.9","t0010","VBISalEnt47697_0009","PATRIC.209261.6.NC_004631.CDS.10092.10805.rev","PATRIC","CDS",10092,10805,714,"-","FIG00553873","PLF_590_00001613","PGF_00064226","NP_803895.1",237,,"UPF0174 protein YaaW",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1000","t0913","VBISalEnt47697_1000","PATRIC.209261.6.NC_004631.CDS.1009329.1009742.fwd","PATRIC","CDS",1009329,1009742,414,"+","FIG00732038","PLF_590_00003336","PGF_00064776","NP_804742.1",137,"yedD","Uncharacterized lipoprotein YedD",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1001","t0914","VBISalEnt47697_1001","PATRIC.209261.6.NC_004631.CDS.1009782.1011266.rev","PATRIC","CDS",1009782,1011266,1485,"-","FIG00002066","PLF_590_00000119","PGF_03144220","NP_804743.1",494,"amyA","Cytoplasmic alpha-amylase (EC 3.2.1.1)","GO:0004556|alpha-amylase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1002","t0915","VBISalEnt47697_1002","PATRIC.209261.6.NC_004631.CDS.1011338.1011706.rev","PATRIC","CDS",1011338,1011706,369,"-","FIG00001909","PLF_590_00002924","PGF_06708195","NP_804744.1",122,"fliT","Flagellar biosynthesis protein FliT",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1003","t0916","VBISalEnt47697_1003","PATRIC.209261.6.NC_004631.CDS.1011706.1012113.rev","PATRIC","CDS",1011706,1012113,408,"-","FIG00000784","PLF_590_00002275","PGF_03774796","NP_804745.1",135,"fliS","Flagellar biosynthesis protein FliS",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1004","t0917","VBISalEnt47697_1004","PATRIC.209261.6.NC_004631.CDS.1012128.1013531.rev","PATRIC","CDS",1012128,1013531,1404,"-","FIG00000668","PLF_590_00004410","PGF_03233642","NP_804746.1",467,"fliD","Flagellar cap protein FliD",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.100","t0091","VBISalEnt47697_0100","PATRIC.209261.6.NC_004631.CDS.101219.102067.rev","PATRIC","CDS",101219,102067,849,"-","FIG00020647","PLF_590_00001873","PGF_07763915","NP_803975.1",282,"apaH","Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)","GO:0016787|hydrolase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1005",,"VBISalEnt47697_1005","PATRIC.209261.6.NC_004631.CDS.1013510.1013638.rev","PATRIC","CDS",1013510,1013638,129,"-","FIG01354815","PLF_590_00008005","PGF_03308309",,42,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1006","t0918","VBISalEnt47697_1006","PATRIC.209261.6.NC_004631.CDS.1013788.1015308.fwd","PATRIC","CDS",1013788,1015308,1521,"+","FIG00133792","PLF_590_00003790","PGF_04066041","NP_804747.1",506,"fliC","Flagellin FliC",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1007",,"VBISalEnt47697_1007","PATRIC.209261.6.NC_004631.CDS.1015387.1015671.fwd","PATRIC","CDS",1015387,1015671,285,"+","FIG01400186","PLF_590_00000138","PGF_00017999",,94,,"Lysine-N-methylase (EC 2.1.1.-)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1008",,"VBISalEnt47697_1008","PATRIC.209261.6.NC_004631.CDS.1015650.1016591.fwd","PATRIC","CDS",1015650,1016591,942,"+","FIG01400186","PLF_590_00000138","PGF_00017999",,313,,"Lysine-N-methylase (EC 2.1.1.-)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1009","t0920","VBISalEnt47697_1009","PATRIC.209261.6.NC_004631.CDS.1016818.1017507.fwd","PATRIC","CDS",1016818,1017507,690,"+","FIG00009068","PLF_590_00001412","PGF_00046377","NP_804748.1",229,"fliA","RNA polymerase sigma factor for flagellar operon","GO:0003677|DNA binding;GO:0003700|transcription factor activity;GO:0006352|transcription initiation;GO:0016987|sigma factor activity"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1010","t0921","VBISalEnt47697_1010","PATRIC.209261.6.NC_004631.CDS.1017596.1018117.fwd","PATRIC","CDS",1017596,1018117,522,"+","FIG00002745","PLF_590_00001953","PGF_00047231","NP_804749.1",173,"fliZ","Regulator of sigma S factor FliZ",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1011","t0922","VBISalEnt47697_1011","PATRIC.209261.6.NC_004631.CDS.1018264.1019064.fwd","PATRIC","CDS",1018264,1019064,801,"+","FIG00001124","PLF_590_00000907","PGF_00016080","NP_804750.1",266,"fliY","L-cystine ABC transporter (wide substrate range), substrate-binding protein FliY",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1012","t0923","VBISalEnt47697_1012","PATRIC.209261.6.NC_004631.CDS.1019218.1020204.fwd","PATRIC","CDS",1019218,1020204,987,"+","FIG00003218","PLF_590_00001547","PGF_00420919","NP_804751.1",328,,"D-cysteine desulfhydrase (EC 4.4.1.15)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1013","t0924","VBISalEnt47697_1013","PATRIC.209261.6.NC_004631.CDS.1020225.1020893.fwd","PATRIC","CDS",1020225,1020893,669,"+","FIG00002518","PLF_590_00002287","PGF_00016078","NP_804752.1",222,"yecS","L-cystine ABC transporter (wide substrate range), permease protein YecS",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.101","t0092","VBISalEnt47697_0101","PATRIC.209261.6.NC_004631.CDS.102078.102455.rev","PATRIC","CDS",102078,102455,378,"-","FIG00001142","PLF_590_00001869","PGF_01708405","NP_803976.1",125,"apaG","ApaG protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1014","t0925","VBISalEnt47697_1014","PATRIC.209261.6.NC_004631.CDS.1020890.1021642.fwd","PATRIC","CDS",1020890,1021642,753,"+","FIG01955114","PLF_590_00002413","PGF_00016076","NP_804753.1",250,,"L-cystine ABC transporter (wide substrate range), ATP-binding protein YecC",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1015","t0926","VBISalEnt47697_1015","PATRIC.209261.6.NC_004631.CDS.1021875.1022597.fwd","PATRIC","CDS",1021875,1022597,723,"+","FIG00004070","PLF_590_00002770","PGF_00023616","NP_804754.1",240,"sdiA","N-(3-oxohexanoyl)-L-homoserine lactone-binding transcriptional activator @ N-(3-oxooctanoyl)-L-homoserine lactone-binding transcriptional activator",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1016","t0927","VBISalEnt47697_1016","PATRIC.209261.6.NC_004631.CDS.1022664.1022888.rev","PATRIC","CDS",1022664,1022888,225,"-","FIG01068469","PLF_590_00002963","PGF_08097135","NP_804755.1",74,"yecF","hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1017","t0928","VBISalEnt47697_1017","PATRIC.209261.6.NC_004631.CDS.1022885.1023040.rev","PATRIC","CDS",1022885,1023040,156,"-","FIG01045367","PLF_590_00003827","PGF_00291950","NP_804756.1",51,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1018","t0929","VBISalEnt47697_1018","PATRIC.209261.6.NC_004631.CDS.1023352.1024008.fwd","PATRIC","CDS",1023352,1024008,657,"+","FIG00001434","PLF_590_00001028","PGF_05333400","NP_804757.1",218,"sirA","BarA-associated response regulator UvrY (= GacA = SirA)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1019","t0930","VBISalEnt47697_1019","PATRIC.209261.6.NC_004631.CDS.1024005.1025837.fwd","PATRIC","CDS",1024005,1025837,1833,"+","FIG00000185","PLF_590_00000527","PGF_00424971","NP_804758.1",610,"uvrC","Excinuclease ABC subunit C","GO:0003677|DNA binding;GO:0004518|nuclease activity;GO:0005622|intracellular;GO:0006281|DNA repair;GO:0006289|nucleotide-excision repair"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.102","t0093","VBISalEnt47697_0102","PATRIC.209261.6.NC_004631.CDS.102458.103279.rev","PATRIC","CDS",102458,103279,822,"-","FIG01958812","PLF_590_00001602","PGF_00049827","NP_803977.1",273,"ksgA","SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1020","t0931","VBISalEnt47697_1020","PATRIC.209261.6.NC_004631.CDS.1025894.1026442.fwd","PATRIC","CDS",1025894,1026442,549,"+","FIG00001550","PLF_590_00001875","PGF_03295678","NP_804759.1",182,"pgsA","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)","GO:0008444|CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1021","t0935","VBISalEnt47697_1021","PATRIC.209261.6.NC_004631.CDS.1027143.1027280.fwd","PATRIC","CDS",1027143,1027280,138,"+","FIG01046320","PLF_590_00060609","PGF_03309200","NP_804760.1",45,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1022","t0936","VBISalEnt47697_1022","PATRIC.209261.6.NC_004631.CDS.1027273.1027473.fwd","PATRIC","CDS",1027273,1027473,201,"+","FIG00920505","PLF_590_00006864","PGF_03309200","NP_804761.1",66,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1023",,"VBISalEnt47697_1023","PATRIC.209261.6.NC_004631.CDS.1027638.1027781.fwd","PATRIC","CDS",1027638,1027781,144,"+","FIG01046674","PLF_590_00005205","PGF_03308589",,47,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1024","t0937","VBISalEnt47697_1024","PATRIC.209261.6.NC_004631.CDS.1027693.1029126.fwd","PATRIC","CDS",1027693,1029126,1434,"+","FIG01200701","PLF_590_00000740","PGF_08225224","NP_804762.1",477,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1025","t0938","VBISalEnt47697_1025","PATRIC.209261.6.NC_004631.CDS.1029339.1029530.fwd","PATRIC","CDS",1029339,1029530,192,"+","FIG01353037","PLF_590_00003850","PGF_03307996","NP_804763.1",63,,"Uncharacterized protein STM1939",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1026","t0939","VBISalEnt47697_1026","PATRIC.209261.6.NC_004631.CDS.1029548.1029664.fwd","PATRIC","CDS",1029548,1029664,117,"+","FIG01353037","PLF_590_00003850","PGF_03307996","NP_804764.1",38,,"Uncharacterized protein STM1939",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1027","t0940","VBISalEnt47697_1027","PATRIC.209261.6.NC_004631.CDS.1029903.1030568.fwd","PATRIC","CDS",1029903,1030568,666,"+","FIG00637941","PLF_590_00000180","PGF_00065489","NP_804765.1",221,"yecA","Uncharacterized protein YecA",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1028","t0941","VBISalEnt47697_1028","PATRIC.209261.6.NC_004631.CDS.1030643.1031911.rev","PATRIC","CDS",1030643,1031911,1269,"-","FIG00004484","PLF_590_00001513","PGF_03868166","NP_804766.1",422,"tyrP","Tyrosine-specific transport protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1029","t0942","VBISalEnt47697_1029","PATRIC.209261.6.NC_004631.CDS.1032081.1032320.fwd","PATRIC","CDS",1032081,1032320,240,"+","FIG00510025","PLF_590_00003443","PGF_00065491","NP_804767.1",79,"yecH","Uncharacterized protein YecH",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1030","t0943","VBISalEnt47697_1030","PATRIC.209261.6.NC_004631.CDS.1032366.1032863.rev","PATRIC","CDS",1032366,1032863,498,"-","FIG00554143","PLF_590_00002273","PGF_06077968","NP_804768.1",165,"ftnA","Bacterial non-heme ferritin (EC 1.16.3.2)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.103","t0094","VBISalEnt47697_0103","PATRIC.209261.6.NC_004631.CDS.103276.104265.rev","PATRIC","CDS",103276,104265,990,"-","FIG00000520","PLF_590_00001200","PGF_00424447","NP_803978.1",329,"pdxA","4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)","GO:0050570|4-hydroxythreonine-4-phosphate dehydrogenase activity"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1031","t0944","VBISalEnt47697_1031","PATRIC.209261.6.NC_004631.CDS.1033103.1033438.rev","PATRIC","CDS",1033103,1033438,336,"-","FIG00638266","PLF_590_00002066","PGF_03301822","NP_804769.1",111,,"Putative outer membrane lipoprotein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1032","t0945","VBISalEnt47697_1032","PATRIC.209261.6.NC_004631.CDS.1033769.1034113.rev","PATRIC","CDS",1033769,1034113,345,"-","FIG00004237","PLF_590_00002845","PGF_06077968","NP_804770.1",114,"yecI","Bacterial non-heme ferritin (EC 1.16.3.2)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1033","t0946","VBISalEnt47697_1033","PATRIC.209261.6.NC_004631.CDS.1034822.1035379.fwd","PATRIC","CDS",1034822,1035379,558,"+","FIG00002967","PLF_590_00004891","PGF_07489704","NP_804771.1",185,,"DJ-1/YajL/PfpI superfamily, includes chaperone protein YajL (former ThiJ), parkinsonism-associated protein DJ-1, peptidases PfpI, Hsp31",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1034",,"VBISalEnt47697_1034","PATRIC.209261.6.NC_004631.CDS.1035608.1035790.fwd","PATRIC","CDS",1035608,1035790,183,"+","FIG00004109","PLF_590_00004185","PGF_10500186",,60,,"L-arabinose ABC transporter, permease protein AraH",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1035","t0948","VBISalEnt47697_1035","PATRIC.209261.6.NC_004631.CDS.1036013.1036816.fwd","PATRIC","CDS",1036013,1036816,804,"+","FIG00001349","PLF_590_00001839","PGF_02737404","NP_804772.1",267,"otsB","Trehalose-6-phosphate phosphatase (EC 3.1.3.12)",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1036","t0949","VBISalEnt47697_1036","PATRIC.209261.6.NC_004631.CDS.1036791.1038212.fwd","PATRIC","CDS",1036791,1038212,1422,"+","FIG00001100","PLF_590_00000288","PGF_06214912","NP_804773.1",473,"otsA","Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)","GO:0003825|alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1037","t0950","VBISalEnt47697_1037","PATRIC.209261.6.NC_004631.CDS.1038262.1038657.rev","PATRIC","CDS",1038262,1038657,396,"-","FIG00004558","PLF_590_00002354","PGF_00065938","NP_804774.1",131,"yecG","Universal stress protein C",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1038","t0951","VBISalEnt47697_1038","PATRIC.209261.6.NC_004631.CDS.1038654.1038770.rev","PATRIC","CDS",1038654,1038770,117,"-","FIG01308092","PLF_590_00007819","PGF_03309636","NP_804775.1",38,,"hypothetical protein",
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","209261.6","NC_004631","fig|209261.6.peg.1039","t0952","VBISalEnt47697_1039","PATRIC.209261.6.NC_004631.CDS.1039453.1039794.fwd","PATRIC","CDS",1039453,1039794,342,"+","FIG00001899","PLF_590_00002399","PGF_02336950","NP_804776.1",113,"flhD","Flagellar transcriptional activator FlhD",
