Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|272620.9.peg.2010,Protein,"Outer membrane lipoprotein pcp precursor",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_01979,slyB,fig|272620.9.peg.3973,Protein,"Outer membrane porin, OmpA family",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03910,yiaD,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.3940,Protein,"Na+/H+-dicarboxylate symporter",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03878,dctA,fig|272620.9.peg.4242,Protein,"Nitrogen regulation protein NtrC",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_04176,glnG,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.2842,Protein,"N-acetylmannosamine kinase (EC 2.7.1.60)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_02823,,fig|272620.9.peg.3614,Protein,"Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03551,gatD,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.1407,Protein,"tRNA(Cytosine32)-2-thiocytidine synthetase",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_01375,ydaO,fig|272620.9.peg.2063,Protein,"Chlorohydrolase/deaminase family protein",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_02032,,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.3592,Protein,"Glutathione S-transferase, omega (EC 2.5.1.18)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03530,yqjG,fig|272620.9.peg.3712,Protein,"AaeAB efflux system for hydroxylated, aromatic carboxylic acids, membrane fusion component AaeA",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03650,yhcQ,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.1882,Protein,"Inorganic pyrophosphatase (EC 3.6.1.1)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_01852,,fig|272620.9.peg.4208,Protein,"ATP synthase alpha chain (EC 3.6.3.14)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_04139,atpA,PPI,"predicted interaction","interologs mapping,predictive text mining,inference","computational,experimental","","string,kegg pathways","",
fig|272620.9.peg.2561,Protein,"Ribitol/Xylitol/Arabitol transporter, MFS superfamily",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_02541,,fig|272620.9.peg.4005,Protein,"PTS system, mannitol-specific IIC component / PTS system, mannitol-specific IIB component (EC 2.7.1.69) / PTS system, mannitol-specific IIA component",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03942,mtlA,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.1543,Protein,"Transcriptional regulatory protein RstA",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_01521,rstA,fig|272620.9.peg.3817,Protein,"Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03758,dam,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.2622,Protein,"PTS system, fructose-specific IIA component / Fructose-specific phosphocarrier protein HPr",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_02600,fruB,fig|272620.9.peg.3678,Protein,"Phosphocarrier protein, nitrogen regulation associated",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03616,ptsO,PPI,"predicted interaction","interologs mapping,predictive text mining","computational,experimental","","string","",
fig|272620.9.peg.2811,Protein,"ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17) @ ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), ethanolamine utilization",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_02793,eutT,fig|272620.9.peg.3240,Protein,"Propanediol utilization polyhedral body protein PduU",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_03220,pduU,PPI,"predicted interaction","predictive text mining,phylogenetic profile","experimental,computational","","string","",
fig|272620.9.peg.873,Protein,"Mn-dependent transcriptional regulator MntR",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_00845,mntR,fig|272620.9.peg.1599,Protein,"Uncharacterized MFS-type transporter",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_01572,ynfM,PPI,"predicted interaction","predictive text mining","experimental","","string","",
fig|272620.9.peg.4280,Protein,"Rhamnulokinase (EC 2.7.1.5)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_04213,rhaB,fig|272620.9.peg.4281,Protein,"L-rhamnose operon regulatory protein RhaS",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_04214,rhaS,PPI,"predicted interaction","predictive text mining,phylogenetic profile","experimental,computational","","string","",
fig|272620.9.peg.2552,Protein,"Uncharacterized protease YegQ",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_02532,yegQ,fig|272620.9.peg.4485,Protein,"Replicative DNA helicase (DnaB) (EC 3.6.4.12)",Bacteria,272620,272620.9,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,KPN_04439,dnaB,PPI,"predicted interaction","predictive text mining","experimental","","string","",
