Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.978","AA076_05030",,"PATRIC.1241616.6.CP011526.CDS.1001059.1001628.rev","PATRIC","CDS",1001059,1001628,570,"-","FIG01226330","PLF_1279_00000947","PGF_00418799",,189,,"Competence transcription factor",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.979","AA076_05035",,"PATRIC.1241616.6.CP011526.CDS.1001838.1002056.fwd","PATRIC","CDS",1001838,1002056,219,"+","FIG01108448","PLF_1279_00001869","PGF_00794283",,72,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.980","AA076_05040",,"PATRIC.1241616.6.CP011526.CDS.1002137.1003123.rev","PATRIC","CDS",1002137,1003123,987,"-","FIG00000465","PLF_1279_00000303","PGF_03677192",,328,,"Lipoate-protein ligase A",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.981","AA076_05045",,"PATRIC.1241616.6.CP011526.CDS.1003322.1003498.fwd","PATRIC","CDS",1003322,1003498,177,"+","FIG01108366","PLF_1279_00000735","PGF_08225224",,58,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.982","AA076_05050",,"PATRIC.1241616.6.CP011526.CDS.1003513.1004115.fwd","PATRIC","CDS",1003513,1004115,603,"+","FIG01108536","PLF_1279_00000362","PGF_12719682",,200,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.983","AA076_05055",,"PATRIC.1241616.6.CP011526.CDS.1004386.1004493.fwd","PATRIC","CDS",1004386,1004493,108,"+","FIG00638284","PLF_1279_00004558","PGF_03474773",,35,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.984","AA076_05060",,"PATRIC.1241616.6.CP011526.CDS.1005032.1005133.fwd","PATRIC","CDS",1005032,1005133,102,"+",,"PLF_1279_00092011","PGF_05513156",,33,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.985","AA076_05065",,"PATRIC.1241616.6.CP011526.CDS.1005459.1007423.fwd","PATRIC","CDS",1005459,1007423,1965,"+","FIG01308472","PLF_1279_00001238","PGF_00042113",,654,,"Putative membrane-spanning protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.86","AA076_00440",,"PATRIC.1241616.6.CP011526.CDS.100569.101309.rev","PATRIC","CDS",100569,101309,741,"-","FIG01320334","PLF_1279_00001365","PGF_00036237",,246,,"Predicted regulator for deoxynucleoside utilization, GntR family",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.986","AA076_05070",,"PATRIC.1241616.6.CP011526.CDS.1007426.1007746.fwd","PATRIC","CDS",1007426,1007746,321,"+","FIG01108237","PLF_1279_00001891","PGF_00805754",,106,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.987","AA076_05075",,"PATRIC.1241616.6.CP011526.CDS.1007743.1008384.fwd","PATRIC","CDS",1007743,1008384,642,"+","FIG01956052","PLF_1279_00001122","PGF_10425579",,213,,"ABC transporter, ATP-binding protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.988","AA076_05080",,"PATRIC.1241616.6.CP011526.CDS.1008472.1008717.rev","PATRIC","CDS",1008472,1008717,246,"-","FIG01107940","PLF_1279_00002014","PGF_03469265",,81,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.989","AA076_05085",,"PATRIC.1241616.6.CP011526.CDS.1009041.1009328.fwd","PATRIC","CDS",1009041,1009328,288,"+","FIG01108705","PLF_1279_00002739","PGF_03472813",,95,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.990","AA076_05090",,"PATRIC.1241616.6.CP011526.CDS.1009334.1010815.fwd","PATRIC","CDS",1009334,1010815,1482,"+","FIG00139262","PLF_1279_00002735","PGF_00034585",,493,,"Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)","GO:0047265|poly(glycerol-phosphate) alpha-glucosyltransferase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.991","AA076_05095",,"PATRIC.1241616.6.CP011526.CDS.1010904.1011263.rev","PATRIC","CDS",1010904,1011263,360,"-","FIG01107946","PLF_1279_00001625","PGF_08225224",,119,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.992","AA076_05100",,"PATRIC.1241616.6.CP011526.CDS.1011748.1012707.fwd","PATRIC","CDS",1011748,1012707,960,"+","FIG00019092","PLF_1279_00001463","PGF_00011292",,319,,"Heme ABC type transporter HtsABC, heme-binding protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.993","AA076_05105",,"PATRIC.1241616.6.CP011526.CDS.1012753.1012869.rev","PATRIC","CDS",1012753,1012869,117,"-","FIG01108068","PLF_1279_00001982","PGF_03469120",,38,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.994","AA076_05110",,"PATRIC.1241616.6.CP011526.CDS.1012948.1013163.rev","PATRIC","CDS",1012948,1013163,216,"-","FIG01108198","PLF_1279_00001931","PGF_08225224",,71,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.995","AA076_05115",,"PATRIC.1241616.6.CP011526.CDS.1013328.1013879.fwd","PATRIC","CDS",1013328,1013879,552,"+","FIG00627267","PLF_1279_00001919","PGF_03468751",,183,,"Acetyltransferase (GNAT family) SAS0976",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.996","AA076_05120",,"PATRIC.1241616.6.CP011526.CDS.1013930.1014868.rev","PATRIC","CDS",1013930,1014868,939,"-","FIG00085608","PLF_1279_00000236","PGF_00876943",,312,,"1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.997","AA076_05125",,"PATRIC.1241616.6.CP011526.CDS.1015050.1016411.fwd","PATRIC","CDS",1015050,1016411,1362,"+","FIG00134749","PLF_1279_00001161","PGF_01022008",,453,,"Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)","GO:0008909|isochorismate synthase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.87","AA076_00450",,"PATRIC.1241616.6.CP011526.CDS.101560.102267.fwd","PATRIC","CDS",101560,102267,708,"+","FIG00000659","PLF_1279_00002004","PGF_00038987",,235,,"Purine nucleoside phosphorylase (EC 2.4.2.1)","GO:0004731|purine-nucleoside phosphorylase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.998","AA076_05130",,"PATRIC.1241616.6.CP011526.CDS.1016398.1018071.fwd","PATRIC","CDS",1016398,1018071,1674,"+","FIG00000866","PLF_1279_00000135","PGF_04456509",,557,,"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)","GO:0070204|2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.999","AA076_05135",,"PATRIC.1241616.6.CP011526.CDS.1018058.1018861.fwd","PATRIC","CDS",1018058,1018861,804,"+","FIG00016466","PLF_1279_00001443","PGF_01673335",,267,,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)","GO:0070205|2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1000","AA076_05140",,"PATRIC.1241616.6.CP011526.CDS.1018854.1019675.fwd","PATRIC","CDS",1018854,1019675,822,"+","FIG00071623","PLF_1279_00000174","PGF_04797267",,273,,"Naphthoate synthase (EC 4.1.3.36)","GO:0008935|1,4-dihydroxy-2-naphthoyl-CoA synthase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1001","AA076_05145",,"PATRIC.1241616.6.CP011526.CDS.1019914.1020243.rev","PATRIC","CDS",1019914,1020243,330,"-","FIG01369193","PLF_1279_00001877","PGF_00054138",,109,,"Staphostatin B",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1002","AA076_05150",,"PATRIC.1241616.6.CP011526.CDS.1020281.1021462.rev","PATRIC","CDS",1020281,1021462,1182,"-","FIG01321024","PLF_1279_00001526","PGF_00054137",,393,,"Staphopain B precursor (EC 3.4.22.-)",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1003","AA076_05155",,"PATRIC.1241616.6.CP011526.CDS.1021544.1022554.rev","PATRIC","CDS",1021544,1022554,1011,"-","FIG00016394","PLF_1279_00002192","PGF_00008332",,336,,"Glutamyl endopeptidase precursor (EC 3.4.21.19), serine proteinase SspA",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.88","AA076_00455",,"PATRIC.1241616.6.CP011526.CDS.102268.103626.fwd","PATRIC","CDS",102268,103626,1359,"+","FIG01331695","PLF_1279_00001926","PGF_03059393",,452,,"Tetracycline resistance, MFS efflux pump => Tet(38)",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1004","AA076_05160",,"PATRIC.1241616.6.CP011526.CDS.1023082.1024236.rev","PATRIC","CDS",1023082,1024236,1155,"-","FIG00054354","PLF_1279_00000211","PGF_00023719",,384,,"N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)","GO:0010326|methionine-oxo-acid transaminase activity;GO:0010326|6-aminohexanoate transaminase activity;GO:0010326|N2-acetyl-L-lysine aminotransferase activity;GO:0010326|acetyldiaminopimelate aminotransferase activity;GO:0010326|branched-chain amino acid:2-keto-4-methylthiobutyrate aminotransferase activity;GO:0010326|D-lysine transaminase activity;GO:0010326|aspartate-2-keto-4-methylthiobutyrate transaminase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1005","AA076_05165",,"PATRIC.1241616.6.CP011526.CDS.1024432.1025442.rev","PATRIC","CDS",1024432,1025442,1011,"-","FIG01288841","PLF_1279_00001192","PGF_01579049",,336,,"putative membrane protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1006","AA076_05170",,"PATRIC.1241616.6.CP011526.CDS.1025595.1026014.fwd","PATRIC","CDS",1025595,1026014,420,"+","FIG01317879","PLF_1279_00001988","PGF_00776526",,139,,"Putative ATL autolysin transcription regulator",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1007","AA076_05175",,"PATRIC.1241616.6.CP011526.CDS.1026041.1026151.fwd","PATRIC","CDS",1026041,1026151,111,"+","FIG00638284","PLF_1279_00006718","PGF_03475751",,36,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1008","AA076_05180",,"PATRIC.1241616.6.CP011526.CDS.1026221.1029991.rev","PATRIC","CDS",1026221,1029991,3771,"-",,"PLF_1279_00001508","PGF_00023881",,1256,,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) / Endo-beta-N-acetylglucosaminidase (EC 3.2.1.96) @ Bifunctional autolysin Atl","GO:0008745|N-acetylmuramoyl-L-alanine amidase activity;GO:0033925|mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity"
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1009","AA076_05185",,"PATRIC.1241616.6.CP011526.CDS.1030219.1030653.rev","PATRIC","CDS",1030219,1030653,435,"-","FIG00003802","PLF_1279_00001830","PGF_00842391",,144,,"GNAT family acetyltransferase YjcF",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1010","AA076_05190",,"PATRIC.1241616.6.CP011526.CDS.1030808.1031278.rev","PATRIC","CDS",1030808,1031278,471,"-","FIG01108205","PLF_1279_00000409","PGF_08225224",,156,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1011","AA076_05195",,"PATRIC.1241616.6.CP011526.CDS.1031326.1032543.rev","PATRIC","CDS",1031326,1032543,1218,"-","FIG00003844","PLF_1279_00000150","PGF_00417153",,405,,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1012","AA076_05200",,"PATRIC.1241616.6.CP011526.CDS.1032994.1034187.fwd","PATRIC","CDS",1032994,1034187,1194,"+","FIG01306506","PLF_1279_00001810","PGF_00006071",,397,,"FmtA protein involved in methicillin resistance",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1013","AA076_05205",,"PATRIC.1241616.6.CP011526.CDS.1034724.1035014.rev","PATRIC","CDS",1034724,1035014,291,"-","FIG00009799","PLF_1279_00000326","PGF_00420218",,96,,"Cytochrome aa3-600 menaquinol oxidase subunit IV",
"Staphylococcus aureus subsp. aureus DSM 20231","1241616.6","CP011526","fig|1241616.6.peg.1014","AA076_05210",,"PATRIC.1241616.6.CP011526.CDS.1035011.1035616.rev","PATRIC","CDS",1035011,1035616,606,"-","FIG00008916","PLF_1279_00000207","PGF_00420217",,201,,"Cytochrome aa3-600 menaquinol oxidase subunit III",
