Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3344","SARI_03518","VBISalEnt13497_3344",,,,"Translation elongation factor Tu",,"antibiotic target in susceptible species","364475;9678602",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.374","SARI_00401","VBISalEnt13497_0374",,,,"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)",,"efflux pump conferring antibiotic resistance","10692383",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3355","SARI_03539","VBISalEnt13497_3355",,,,"Hydrogen peroxide-inducible genes activator => OxyR",,"regulator modulating expression of antibiotic resistance genes","25799046",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3336","SARI_03509","VBISalEnt13497_3336",,,"rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",,"antibiotic target in susceptible species","3050121;15047531;16723576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.1991","SARI_02065","VBISalEnt13497_1991",,,,"Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance",,"antibiotic target protection protein","12486040;15778224;15946938",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.2082","SARI_02162","VBISalEnt13497_2082",,,,"AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump",,"efflux pump conferring antibiotic resistance","23010927",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.2365","SARI_02458","VBISalEnt13497_2365",,,,"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA",,"efflux pump conferring antibiotic resistance","7651136",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.571","SARI_00596","VBISalEnt13497_0571",,,,"Undecaprenyl phosphate-aminoarabinose flippase subunit ArnF",,"protein altering cell wall charge conferring antibiotic resistance","17928292",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.1944","SARI_02021","VBISalEnt13497_1944",,,,"Macrolide-specific efflux protein MacA",,"efflux pump conferring antibiotic resistance","11544226",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3975","SARI_04181","VBISalEnt13497_3975",,,,"Translation elongation factor Tu",,"antibiotic target in susceptible species","364475;9678602",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.937","SARI_00992","VBISalEnt13497_0937",,,,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)",,"protein altering cell wall charge conferring antibiotic resistance","22238576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3263","SARI_03431","VBISalEnt13497_3263",,,"alr","Alanine racemase (EC 5.1.1.1)",,"antibiotic target in susceptible species","19748470;24303782",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.736","SARI_00765","VBISalEnt13497_0736",,,,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)",,"efflux pump conferring antibiotic resistance","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3974","SARI_04180","VBISalEnt13497_3974",,,,"Translation elongation factor G",,"antibiotic target in susceptible species","17980694;19289529;19289529;17325218;19289529",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.1381","SARI_01456","VBISalEnt13497_1381",,,,"Multiple antibiotic resistance protein MarA",,"antibiotic resistance gene cluster, cassette, or operon","8383113;9068629",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3600","SARI_03802","VBISalEnt13497_3600",,,,"Multidrug efflux pump MdtL (of MFS type)",,"efflux pump conferring antibiotic resistance","11566977",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.1382","SARI_01457","VBISalEnt13497_1382",,,,"Multiple antibiotic resistance protein MarR",,"antibiotic resistance gene cluster, cassette, or operon","7768850;8282690;8383113;9068629",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.574","SARI_00600","VBISalEnt13497_0574",,,,"UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87)",,"protein altering cell wall charge conferring antibiotic resistance","12704196;12429098",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.2919","SARI_03057","VBISalEnt13497_2919",,,,"Multidrug efflux pump MdtM (of MFS type)",,"efflux pump conferring antibiotic resistance","23221628",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.737","SARI_00766","VBISalEnt13497_0737",,,,"Multidrug efflux system MdtABC-TolC, membrane fusion component MdtA",,"efflux pump conferring antibiotic resistance","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3196","SARI_03364","VBISalEnt13497_3196",,,,"Lipid A phosphoethanolamine transferase EptA/PmrC (EC 2.7.8.43)",,"protein altering cell wall charge conferring antibiotic resistance","17362200;23810904;15205413",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.1990","SARI_02064","VBISalEnt13497_1990",,,,"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum",,"efflux pump conferring antibiotic resistance","9079913",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.637","SARI_00666","VBISalEnt13497_0637",,,,"Multidrug resistance transporter => Bicyclomycin resistance protein Bcr-1",,"efflux pump conferring antibiotic resistance","8486276;16181146",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.1943","SARI_02020","VBISalEnt13497_1943",,,,"Macrolide export ATP-binding/permease protein MacB",,"efflux pump conferring antibiotic resistance","11544226",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3198","SARI_03366","VBISalEnt13497_3198",,,,"Sensor protein BasS/PmrB (activates BasR/PmrA)",,"regulator modulating expression of antibiotic resistance genes","8282725;25150146;20653976",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.3132","SARI_03295","VBISalEnt13497_3132",,,,"Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds",,"efflux pump conferring antibiotic resistance","11948170",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.2782","SARI_02917","VBISalEnt13497_2782",,,"folA","Dihydrofolate reductase (EC 1.5.1.3)",,"antibiotic target in susceptible species","20169085;25288078",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.573","SARI_00599","VBISalEnt13497_0573",,,"arnT","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) @ Polymyxin resistance protein PmrK",,"protein altering cell wall charge conferring antibiotic resistance","11535604;16226890",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.4102","SARI_04318","VBISalEnt13497_4102",,,,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",,"antibiotic target in susceptible species","8994972",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- strain RSK2980","fig|41514.7.peg.150","SARI_00158","VBISalEnt13497_0150",,,,"Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",,"efflux pump conferring antibiotic resistance","1409590",,,,
