Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.3507","MBO_303182",,,,,"Integral membrane indolylacetylinositol arabinosyltransferase EmbC (EC 2.4.2.-)",,"antibiotic target in susceptible species","10639358;26033726",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.1453","MBO_301317",,,,,"1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)",,"antibiotic target in susceptible species","16321944",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.2734","MBO_302475",,,,,"Dihydrofolate reductase (EC 1.5.1.3)",,"antibiotic target in susceptible species","20169085;25288078",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.389","MBO_300342",,,,,"Isoleucyl-tRNA synthetase (EC 6.1.1.5)",,"antibiotic target in susceptible species","7929087",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.1135","MBO_301027",,,,,"Two component system sensor histidine kinase MtrB",,"regulator modulating expression of antibiotic resistance genes","20233304",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.2715","MBO_302459",,,,,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)",,"protein altering cell wall charge conferring antibiotic resistance","22238576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.123","MBO_300111",,,,,"Pentapeptide repeat family protein, MfpA => Quinolone resistance protein MfpA(Mt)",,"antibiotic target protection protein","15933203",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.887","MBO_300809",,,,,"Transcriptional regulatory protein EmbR",,"regulator modulating expression of antibiotic resistance genes","10639358;26033726",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.264","MBO_300229",,,,,"Efflux transmembrane permease Rv1747 family => implicated in rifampicin, ofloxacin efflux",,"efflux pump conferring antibiotic resistance","21512166",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.1377","MBO_301249",,,,,"Transmembrane transport protein MmpL7",,"efflux pump conferring antibiotic resistance","15908378;25986884;16251328",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.3239","MBO_302939",,,,,"Class A beta-lactamase (EC 3.5.2.6)",,"antibiotic inactivation enzyme",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.2676","MBO_302422",,,,,"LSU ribosomal protein L6p (L9e)",,"antibiotic target in susceptible species","19289529;17923494",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis strain MB3","fig|1765.317.peg.3844","MBO_303488",,,,,"3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35), FabG4",,"antibiotic target replacement protein","24100560;21081168",,,,
