Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1002","Mb0921c","VBIMycBov88188_1002","PATRIC.233413.5.NC_002945.CDS.1001273.1002880.rev","PATRIC","CDS",1001273,1002880,1608,"-","FIG00071345","PLF_1763_00001652","PGF_03272699","NP_854578.1",535,,"Beta-carotene ketolase",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1003","Mb0922c","VBIMycBov88188_1003","PATRIC.233413.5.NC_002945.CDS.1002906.1003169.rev","PATRIC","CDS",1002906,1003169,264,"-","FIG00821892","PLF_1763_00001934","PGF_08225224","NP_854579.1",87,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1004","Mb0923","VBIMycBov88188_1004","PATRIC.233413.5.NC_002945.CDS.1003382.1004257.fwd","PATRIC","CDS",1003382,1004257,876,"+","FIG01111221","PLF_1763_00021396","PGF_02407721","NP_854580.1",291,"ompA","Outer membrane low permeability porin, OmpATb family",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1005","Mb0924","VBIMycBov88188_1005","PATRIC.233413.5.NC_002945.CDS.1004270.1004422.fwd","PATRIC","CDS",1004270,1004422,153,"+","FIG00692835","PLF_1763_00003246","PGF_02411635","NP_854581.1",50,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1006","Mb0925","VBIMycBov88188_1006","PATRIC.233413.5.NC_002945.CDS.1004422.1004949.fwd","PATRIC","CDS",1004422,1004949,528,"+","FIG01334926","PLF_1763_00003200","PGF_08225224","NP_854582.1",175,,"hypothetical protein",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1007","Mb0926c","VBIMycBov88188_1007","PATRIC.233413.5.NC_002945.CDS.1004966.1006306.rev","PATRIC","CDS",1004966,1006306,1341,"-","FIG01405604","PLF_1763_00000138","PGF_00050767","NP_854583.1",446,"prrB","Sensor-type histidine kinase prrB (EC 2.7.13.3)",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1008","Mb0927c","VBIMycBov88188_1008","PATRIC.233413.5.NC_002945.CDS.1006317.1007027.rev","PATRIC","CDS",1006317,1007027,711,"-","FIG01031438","PLF_1763_00374132","PGF_07420062","NP_854584.1",236,"prrA","Two-component transcriptional response regulator, OmpR family",
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.107","Mb0095","VBIMycBov88188_0107","PATRIC.233413.5.NC_002945.CDS.100711.102903.fwd","PATRIC","CDS",100711,102903,2193,"+","FIG00658111","PLF_1763_00002410","PGF_07109475","NP_853763.1",730,"ctpA","Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","GO:0004008|copper-exporting ATPase activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1009","Mb0928c","VBIMycBov88188_1009","PATRIC.233413.5.NC_002945.CDS.1007158.1008645.rev","PATRIC","CDS",1007158,1008645,1488,"-","FIG01303802","PLF_1763_00001421","PGF_00026289","NP_854585.1",495,"accD3","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)","GO:0003989|acetyl-CoA carboxylase activity"
"Mycobacterium bovis AF2122/97","233413.5","NC_002945","fig|233413.5.peg.1010","Mb0929","VBIMycBov88188_1010","PATRIC.233413.5.NC_002945.CDS.1008672.1009403.fwd","PATRIC","CDS",1008672,1009403,732,"+","FIG00033206","PLF_1763_00001109","PGF_03210551","NP_854586.1",243,"echA6","Enoyl-CoA hydratase (EC 4.2.1.17)","GO:0004300|enoyl-CoA hydratase activity"
