Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.4019","STM3798","VBISalEnt20916_4019",,,"emrD","Multidrug efflux pump EmrD (of MFS type)",,"efflux pump conferring antibiotic resistance","8987357;16675700",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.4513","STM4291","VBISalEnt20916_4513",,,"basS","Sensor protein BasS/PmrB (activates BasR/PmrA)",,"regulator modulating expression of antibiotic resistance genes","8282725;25150146;20653976",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.2439","STM2304","VBISalEnt20916_2439",,,"pmrD","Signal transduction protein PmrD, part of PhoPQ-PmrD-PmrAB multicomponent regulatory system",,"regulator modulating expression of antibiotic resistance genes","25605366;15569938;12676988",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.2253","STM2128","VBISalEnt20916_2253",,,"yegO","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)",,"efflux pump conferring antibiotic resistance","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.2435","STM2300","VBISalEnt20916_2435",,,,"4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)",,"protein altering cell wall charge conferring antibiotic resistance","15695810;9570402",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.2436","STM2301","VBISalEnt20916_2436",,,"arnT","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) @ Polymyxin resistance protein PmrK",,"protein altering cell wall charge conferring antibiotic resistance","11535604;16226890",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.2972","STM2814","VBISalEnt20916_2972",,,"emrA","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA",,"efflux pump conferring antibiotic resistance","1409590",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.4358","STM4146","VBISalEnt20916_4358",,,"tuf","Translation elongation factor Tu",,"antibiotic target in susceptible species","364475;9678602",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.1710","STM1619","VBISalEnt20916_1710",,,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ic,f,g,h,j,k,l,r-z",,"antibiotic inactivation enzyme","11158753;15155202;1354954;2069376;8257129;7810994;8001769;7793874;10188279;10542165;10508008",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.12.peg.3643","STM3446","VBISalEnt20916_3643",,,"fusA","Translation elongation factor G",,"antibiotic target in susceptible species","17980694;19289529;19289529;17325218;19289529",,,,
