Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|93061.5.peg.452,Protein,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00505,,fig|93061.5.peg.713,Protein,"ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00790,,PPI,"predicted interaction","predictive text mining,interologs mapping","experimental,computational","","string","",
fig|93061.5.peg.1920,Protein,"Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_02116,gatB,fig|93061.5.peg.1921,Protein,"Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_02117,gatA,PPI,"predicted interaction,association","inference,interologs mapping,phylogenetic profile,experimental interaction detection,gene neighbourhood","computational,experimental","","kegg pathways,string","",
fig|93061.5.peg.111,Protein,"Capsular polysaccharide synthesis enzyme Cap5F",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00119,,fig|93061.5.peg.119,Protein,"Capsular polysaccharide synthesis enzyme Cap8N",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00127,,PPI,"predicted interaction","predictive text mining,gene neighbourhood","experimental,computational","","string","",
fig|93061.5.peg.112,Protein,"UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00120,,fig|93061.5.peg.121,Protein,"UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00129,,PPI,"predicted interaction","predictive text mining,phylogenetic profile,gene neighbourhood","experimental,computational","","string","",
fig|93061.5.peg.1069,Protein,"Aspartate carbamoyltransferase (EC 2.1.3.2)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01166,pyrB,fig|93061.5.peg.1071,Protein,"Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01169,,PPI,"predicted interaction","inference,predictive text mining,interologs mapping,phylogenetic profile,gene neighbourhood,domain fusion","computational,experimental","","biocyc,kegg pathways,string","",
fig|93061.5.peg.1275,Protein,"Aspartokinase (EC 2.7.2.4)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01394,,fig|93061.5.peg.1277,Protein,"4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01396,,PPI,"predicted interaction","predictive text mining,interologs mapping,phylogenetic profile,gene neighbourhood","experimental,computational","","string","",
fig|93061.5.peg.109,Protein,"Probable polysaccharide biosynthesis protein EpsC",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00117,,fig|93061.5.peg.119,Protein,"Capsular polysaccharide synthesis enzyme Cap8N",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00127,,PPI,"predicted interaction","predictive text mining,phylogenetic profile,gene neighbourhood","experimental,computational","","string","",
fig|93061.5.peg.107,Protein,"Tyrosine-protein kinase EpsD (EC 2.7.10.2) / Capsular polysaccharide synthesis enzyme Cap5B",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00115,,fig|93061.5.peg.114,Protein,"hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00122,,PPI,"predicted interaction","predictive text mining,gene neighbourhood","experimental,computational","","string","",
fig|93061.5.peg.345,Protein,"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00375,guaA,fig|93061.5.peg.1681,Protein,"Formate--tetrahydrofolate ligase (EC 6.3.4.3)",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_01845,,PPI,"predicted interaction","predictive text mining,interologs mapping","experimental,computational","","string","",
fig|93061.5.peg.2497,Protein,"Uncharacterized MFS-type transporter",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_02762,,fig|93061.5.peg.2503,Protein,"FIG018700: hypothetical protein",Bacteria,93061,93061.5,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_02768,,PPI,"predicted interaction","predictive text mining,gene neighbourhood","experimental,computational","","string","",
