Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000001","fig|1432553.3.peg.2",,"VBIKlePne324977_0002","PATRIC.1432553.3.CBWL010000001.CDS.2058.2897.fwd","PATRIC","CDS",2058,2897,840,"+","FIG00000307","PLF_570_00005065","PGF_00423408","CDL13123.1",279,,"Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein","GO:0004156|dihydropteroate synthase activity"
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000001","fig|1432553.3.peg.1",,"VBIKlePne324977_0001","PATRIC.1432553.3.CBWL010000001.CDS.546.1553.fwd","PATRIC","CDS",546,1553,1008,"+","FIG00067777","PLF_570_00043871","PGF_06043088","CDL13122.1",335,,"Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)","GO:0003720|telomerase activity;GO:0003720|RNA helicase activity;GO:0003720|DNA primase activity;GO:0003720|sulfate adenylyltransferase activity;GO:0003720|RNA guanylyltransferase activity;GO:0003720|tRNA guanylyltransferase activity;GO:0003720|mannose-phosphate guanylyltransferase activity;GO:0003720|DNA/RNA helicase activity;GO:0003720|CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase activity;GO:0003720|phospholactate guanylyltransferase activity;GO:0003720|ATP:coenzyme F420 adenylyltransferase activity;GO:0003720|UDP-N-acetylgalactosamine diphosphorylase activity"
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000002","fig|1432553.3.peg.5",,"VBIKlePne324977_0005","PATRIC.1432553.3.CBWL010000002.CDS.1690.1845.rev","PATRIC","CDS",1690,1845,156,"-","FIG00029916","PLF_570_00000405","PGF_00029610","CDL13126.1",51,,"PTS system, cellobiose-specific IIC component",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000002","fig|1432553.3.peg.6",,"VBIKlePne324977_0006","PATRIC.1432553.3.CBWL010000002.CDS.1914.3095.rev","PATRIC","CDS",1914,3095,1182,"-","FIG00029916","PLF_570_00000405","PGF_00029610","CDL13127.1",393,,"PTS system, cellobiose-specific IIC component",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000002","fig|1432553.3.peg.7",,"VBIKlePne324977_0007","PATRIC.1432553.3.CBWL010000002.CDS.3140.3454.fwd","PATRIC","CDS",3140,3454,315,"+","FIG00000704","PLF_570_00002941","PGF_05148511","CDL13128.1",104,,"PTS system, cellobiose-specific IIB component (EC 2.7.1.205)",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000002","fig|1432553.3.peg.8",,"VBIKlePne324977_0008","PATRIC.1432553.3.CBWL010000002.CDS.3464.4786.fwd","PATRIC","CDS",3464,4786,1323,"+","FIG00029916","PLF_570_00002599","PGF_00029610","CDL13129.1",440,,"PTS system, cellobiose-specific IIC component",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000002","fig|1432553.3.peg.9",,"VBIKlePne324977_0009","PATRIC.1432553.3.CBWL010000002.CDS.4810.5124.fwd","PATRIC","CDS",4810,5124,315,"+","FIG00011115","PLF_570_00087807","PGF_10494561","CDL13130.1",104,,"PTS system, IIA component",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000002","fig|1432553.3.peg.4",,"VBIKlePne324977_0004","PATRIC.1432553.3.CBWL010000002.CDS.747.1427.rev","PATRIC","CDS",747,1427,681,"-","FIG00001304","PLF_570_00001779","PGF_10348594","CDL13125.1",226,,"Outer membrane porin KPN_03071",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000002","fig|1432553.3.peg.3",,"VBIKlePne324977_0003","PATRIC.1432553.3.CBWL010000002.CDS.89.757.rev","PATRIC","CDS",89,757,669,"-","FIG00001304","PLF_570_00001779","PGF_10348594","CDL13124.1",222,,"Outer membrane porin KPN_03071",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000003","fig|1432553.3.peg.11",,"VBIKlePne324977_0011","PATRIC.1432553.3.CBWL010000003.CDS.369.692.fwd","PATRIC","CDS",369,692,324,"+","FIG01306568","PLF_570_00005373","PGF_01000105","CDL13132.1",107,,"Mobile element protein",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000003","fig|1432553.3.peg.10",,"VBIKlePne324977_0010","PATRIC.1432553.3.CBWL010000003.CDS.8.220.fwd","PATRIC","CDS",8,220,213,"+","FIG01306568","PLF_570_00005373","PGF_01000105","CDL13131.1",70,,"Mobile element protein",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000004","fig|1432553.3.peg.12",,"VBIKlePne324977_0012","PATRIC.1432553.3.CBWL010000004.CDS.127.1926.rev","PATRIC","CDS",127,1926,1800,"-","FIG00922869","PLF_570_00005236","PGF_00400377","CDL13133.1",599,,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000005","fig|1432553.3.peg.13",,"VBIKlePne324977_0013","PATRIC.1432553.3.CBWL010000005.CDS.112.1356.fwd","PATRIC","CDS",112,1356,1245,"+","FIG00023187","PLF_570_00000904","PGF_08177814","CDL13134.1",414,,"Lipoprotein releasing system transmembrane protein LolE",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000005","fig|1432553.3.peg.14",,"VBIKlePne324977_0014","PATRIC.1432553.3.CBWL010000005.CDS.1405.1536.fwd","PATRIC","CDS",1405,1536,132,"+","FIG00904480","PLF_570_00002589","PGF_00023715","CDL13135.1",43,,"N-acetyl-D-glucosamine kinase (EC 2.7.1.59)","GO:0045127|N-acetylglucosamine kinase activity"
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000006","fig|1432553.3.peg.16",,"VBIKlePne324977_0016","PATRIC.1432553.3.CBWL010000006.CDS.1257.1376.fwd","PATRIC","CDS",1257,1376,120,"+","FIG00064515","PLF_570_00000224","PGF_04283777","CDL13137.1",39,,"Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.5.8)","GO:0047519|quinate dehydrogenase (quinone) activity"
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000006","fig|1432553.3.peg.17",,"VBIKlePne324977_0017","PATRIC.1432553.3.CBWL010000006.CDS.1446.1574.rev","PATRIC","CDS",1446,1574,129,"-","FIG00001099","PLF_570_00000053","PGF_01632255","CDL13138.1",42,,"S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)",
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000006","fig|1432553.3.peg.15",,"VBIKlePne324977_0015","PATRIC.1432553.3.CBWL010000006.CDS.32.1195.fwd","PATRIC","CDS",32,1195,1164,"+","FIG00064515","PLF_570_00000224","PGF_04283777","CDL13136.1",387,,"Quinate/shikimate dehydrogenase [Pyrroloquinoline-quinone] (EC 1.1.5.8)","GO:0047519|quinate dehydrogenase (quinone) activity"
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000007","fig|1432553.3.peg.19",,"VBIKlePne324977_0019","PATRIC.1432553.3.CBWL010000007.CDS.1254.2114.fwd","PATRIC","CDS",1254,2114,861,"+","FIG01919618","PLF_570_00006664","PGF_05132048","CDL13140.1",286,,"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X","GO:0046353|aminoglycoside 3-N-acetyltransferase activity"
"Klebsiella pneumoniae IS46","1432553.3","CBWL010000007","fig|1432553.3.peg.20",,"VBIKlePne324977_0020","PATRIC.1432553.3.CBWL010000007.CDS.2809.3072.fwd","PATRIC","CDS",2809,3072,264,"+","FIG01331873","PLF_570_00008567","PGF_00061569","CDL13141.1",87,,"Transposase and inactivated derivatives",
